"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Invite Status","Email","First Name","Last Name","Organization","Division","Department","Team","Group","Role","Is Manager","Phone (Home)","Phone (Fax)","Phone (Work)","Address 1","Suite/Apt","City","State/Region","Postal Code","Job Title","Website","Country","Source","Invite Custom Field 1","Invite Custom Field 2","Invite Custom Field 3","Invite Custom Field 4","Invite Custom Field 5","Invite Custom Field 6","Invite Custom Field 7","Invite Custom Field 8","Invite Custom Field 9","Invite Custom Field 10","admin","admintask","companysize","email2","frequency1","frequency2","job","otherproducts","primarytask","secondarytask","wwaddress","Link Name","Overall, how satisfied were you with the event?","The lineup of speakers:Why did you choose this event?","Topic presented:Why did you choose this event?","Opportunity to learn something new:Why did you choose this event?","My manager made me go :):Why did you choose this event?","other reason:Why did you choose this event?","other reason:Why did you choose this event?","Event:Speakers:Please rate your experience for each of the following:","Event:Topic presented:Please rate your experience for each of the following:","Event:Presentation quality:Please rate your experience for each of the following:","Event:Length of the presentation:Please rate your experience for each of the following:","Event:Audience engagement :Please rate your experience for each of the following:","What went well with the event?","Sentiment - What went well with the event?","What can we do to improve future events?","Sentiment - What can we do to improve future events?","What topics would interest you for future events?","Sentiment - What topics would interest you for future events?","How likely are you to recommend CIO DX events to coworkers and friends?","Would you like to post a testimonial that we can share? You can enter it here:","Sentiment - Would you like to post a testimonial that we can share? You can enter it here:"
"1","05/30/2023 09:09:43","05/30/2023 09:09:54","Complete","","","","English","https://survey.alchemer.com/collab/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey?__sg_test_notify=1&__sg_tester_id=910573","1685455681_647603411de975.79414097_test","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","","129.41.87.4","-73.90779876709","41.701698303223","United States","Poughkeepsie","NY","12601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Satisfied","The lineup of speakers","Topic presented","","","","","5","5","5","5","5","","","","","","","7","TEST COMMENT ",""
"2","06/07/2023 14:10:20","06/07/2023 14:10:25","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686164859_6480d57b30dd26.59681744","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","187.189.114.214","-99.096900939941","19.459499359131","Mexico","Mexico City","09","07979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Dissatisfied","","","","My manager made me go :)","other reason","Try to move our code","2","3","1","1","2","Topic","","For me was not expected. I was hoping that give us the how move our code with a clear example","","","","2","",""
"3","06/07/2023 14:21:24","06/07/2023 14:21:38","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686165218_6480d6e2235a54.33493914","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.37","","129.41.87.7","-73.90779876709","41.701698303223","United States","Poughkeepsie","NY","12601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Neutral","","Topic presented","","","","","4","4","5","5","5","timely education session - the speakers seemed knowledgeable about the new world","","this topic is very foreign to many of us ... and questions like what would you like to see as far as tools ... means nothing to us - we have not used any of it and barely understand on how we have to translate what we currently do to the new world.  I am thinking of breaking it down even more.  I was so excited when I saw the first presenter talk about jcl and showed jcl ... but then they lost me - today if I need to update a dsn in jcl, I go into the editor update it done and can run immediately and tell if I have a typo or not.  How does that work in the new world ... looks like it would take several steps before even being able to test to see if I had a typo ... it would of helped me to see the jcl go all the way through the process from update to running the jcl.  I understand the general concepts ... but how to convert what I do today to tomorrow ... not getting the picture.","","see above","","10","",""
"4","06/07/2023 14:36:36","06/07/2023 14:36:43","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686166533_6480dc053635d0.27835764","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","","189.120.172.137","-46.640899658203","-23.628299713135","Brazil","Sao Paulo","27","01000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Satisfied","","","Opportunity to learn something new","","","","5","5","5","5","5","","","","","","","10","",""
"5","06/07/2023 14:44:59","06/07/2023 14:45:04","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686167056_6480de10612652.55616503","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36","","129.41.87.6","-73.90779876709","41.701698303223","United States","Poughkeepsie","NY","12601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Very Satisfied","The lineup of speakers","Topic presented","Opportunity to learn something new","","","","5","5","5","5","5","","","","","","","10","",""
"6","06/07/2023 14:45:35","06/07/2023 14:45:56","Complete","","","","English","","1686166995_6480ddd35f3b42.24576048","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","","76.28.52.176","-70.999000549316","42.08570098877","United States","Brockton","MA","02302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Very Satisfied","","Topic presented","Opportunity to learn something new","","","","5","5","5","5","5","Everything","","Keep up the good work","","AI","","10","",""
"7","06/07/2023 15:13:28","06/07/2023 15:13:34","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686168773_6480e4c5cb1ee2.66948748","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0","","95.102.25.56","17.582899093628","48.376201629639","Slovakia","Trnava","07","917 08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Satisfied","","Topic presented","Opportunity to learn something new","","","","5","5","5","5","4","","","","","","","10","",""
"8","06/07/2023 15:16:51","06/07/2023 15:16:59","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686168906_6480e54a0dfb95.30304807","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0","","172.56.70.114","-97.821998596191","37.750999450684","United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Neutral","","Topic presented","","","","","3","3","3","3","2","","","ensure that the presenters are more familiar with the material and that the material addresses z/OS","","How DBA's will function under the new scenario with no access to TSO, DB2, Omegamon, etc. ","","3","",""
"9","06/07/2023 16:19:39","06/07/2023 16:19:49","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686172632_6480f3d87d22d0.32961511","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.41","","76.119.38.158","-70.997200012207","42.246299743652","United States","Quincy","MA","02169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Very Satisfied","","Topic presented","Opportunity to learn something new","","","","4","5","4","4","5","","","It will be good if the links to the previous events are also there.","","","","9","",""
"10","06/07/2023 17:40:48","06/07/2023 17:40:56","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686177556_648107141f0708.89792246","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36","","69.117.123.48","-73.861602783203","40.84700012207","United States","Bronx","NY","10462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Very Satisfied","The lineup of speakers","Topic presented","Opportunity to learn something new","","","","5","5","5","5","5","The Q&A section","","more topics like this","","soft skills for developers ","","10","",""
"11","06/07/2023 23:32:12","06/07/2023 23:32:26","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686198352_648158505f2916.11203564","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0","","129.41.58.0","143.21040344238","-33.493999481201","Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Satisfied","","Topic presented","","","","","4","4","3","4","4","","","","","","","9","",""
"12","06/08/2023 00:31:15","06/08/2023 00:31:26","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686202211_64816763c549e1.11121040","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.37","","49.206.132.216","79.988800048828","14.448399543762","India","Nellore","02","524002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Neutral","","","Opportunity to learn something new","","","","3","3","3","3","4","","","","","","","6","",""
"13","06/08/2023 01:41:56","06/08/2023 01:42:04","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686206448_648177f0eccb07.18589242","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0","","109.210.162.180","4.8098001480103","43.954200744629","France","Avignon","B8","84140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Satisfied","","Topic presented","","","","","4","5","3","5","5","","","","","","","8","",""
"14","06/08/2023 02:21:23","06/08/2023 02:21:40","Complete","","","","English","https://survey.alchemer.com/s3/7371213/CIO-DX-Presents-Onboarding-zOS-Applications-to-CIO-CICD-Survey","1686208775_64818107e4e511.00170002","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0","","178.127.190.13","27.570899963379","53.900699615479","Belarus","Minsk","04","220005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default Link","Satisfied","","","Opportunity to learn something new","","","","4","4","4","5","5","QA","","","","","","9","",""
